Issue,index
Add `input` option to async child_process methods,519
Negative zero broken on ≥ v10.4.0,520
Using GitHub Lock App for closed issues/PRs on NodeJS core?,521
"process,tty: allow reading/writing from duplex sockets : backport to node-8",522
lib: worker fix workers isolation,523
Investigate flaky parallel/test-https-localaddress,524
"src, lib: use internal/options for indicating breakFirstLine",525
Callbacks called twice,526
" readable event,outputs are different between v9.11 and v10.14.2",527
Intl: replace icutrim.py with ICU data slicer,528
"Makefile dependency tree is incomplete, makefiles do not build only as necessary",529
regression: child_process stdin pipe close event not emitted,530
WhatWG URL provides no suitable replacement for `url.format()`,531
Node.js 12 - V8 version roadmap,532
Start node in inspect mode will cause CPU consumption 100%,533
Startup time optimization - specifying location of node_modules,534
Ecosystem Modules that will break in Node 12,535
Unexpected RangeError [ERR_INVALID_OPT_VALUE] while reading from a HTTP download stream,536
[v8.x] flaky sequential/test-http2-settings-flood,537
Building manually on AIX,538
http: test for timeout without callback,539
Re-evaluate waiting on green CI,540
Performance issue with Promise rejection chaining,541
test: added test for lib/internal/util/inspector.js,542
regression: data truncation with stream.writev in IPC channel,543
Request for warning documentation,544
http2: streams can emit 'close' before 'end' and/or 'finish',545
Regression in idle socket handling,546
buffer: up to 2x times faster copy of buffers,547
Buffer.toString behavior change between v8 and v10,548
On Windows lstatSync errors after unlinking a symlinked file,549
openssl bug when using Node.js 10.x or Node.js 11.x but Node.js 8.x is fine,550
Making node_process and part of bootstrapper.cc an internalBinding,551
http server returns 400 status code for valid request on keepalive connection after an error was caught by a domain,552
Experimental Features Strategy,553
cli: make ^C print a JS stack trace,554
test: more tests for PKCS#8 private keys,555
src: allow adjusting trace events per file in cli,556
http2 crash: double free or corruption (fasttop),557
Dynamic Modules Development in Node.js,558
Need change in the read me file,559
"are the YAML ""added"" annotations ambiguous? and are they rewritten on backport?",560
s/whatwg/web/ in file names?,561
Expose a way to restrict openssl signature algorithms,562
Could there be an equivalent of `createRequireFromPath` for imports?,563
module: createRequireFromPath missed docs,564
HTTP2 throwing SSL alert number 42 on Windows 7,565
http/2 compat HEAD always finished,566
"behaviour of Buffer.from(string[, encoding]) is not specified for invalid input",567
doc: http module clarify header limits,568
Support pausing the debugger on script load,569
doc: Adding documentation on dynamic imports via the import() function,570
Regression v10.x node_file.cc:1713: Assertion `(off) <= (buffer_length)' failed.,571
Test /parallel/test-fs-stat-bigint fails 3 out of 100 times,572
Does `autoDestroy` make sense for http2 streams?,573
child_process: implement experimental promises api,574
AIX - intermittent? -  known_issues/test-vm-timeout-escape-promise,575
stream.pipeline swallowing errors when read stream is empty,576
Dependency v8 is not Python 3 compatible,577
flaky: parallel/test-timers-immediate-queue,578
stream: adding new 'data' handler doesn't resume stream after removing 'readable' handler,579
Feature request: Support create public key from components method?,580
doc: updating vs cpp build tool installation steps in building,581
test: update test case in test-net-internal.js,582
Problem Building Node (had errors about multiply-defined symbols and such),583
test: add a test to make sure the modules can be required independently,584
flaky: parallel/test-https-foafssl,585
test: use openssl.cnf if using shared openssl,586
Run tests with OPENSSL_CONF set to embedded openssl.cnf,587
doc: backticks rendering as-is in crypto docs,588
http2: make compat finished match http/1,589
http: compat head request should not start finished,590
readline: add reverse search,591
`multipleResolves` event should not be triggered when using `Promise.all()` or `Promise.race()`,592
doc: make C++ core guidelines a reference,593
doc: buffer.from will return internal pool buffer,594
benchmark: try building the addons in napi benchmarks,595
http2: add test for head request is not finished,596
Fixing child_process module to check values passed strictly to the options object,597
cli: preserve or add trailing slash to file arg,598
repl: handling multiline history needs some case guards,599
test: http[s] deprecated-URL coverage,600
`node .` runs a different file on node 10 than 8,601
test: http2 origin length ERR_HTTP2_ORIGIN_LENGTH,602
investigate flaky known_issues/test-vm-timeout-escape-nexttick,603
"discussion: put subsystem, team and label metadata in file(s) in this repo",604
"Doc: Agent ctor options are not fully documented, such as `lookup`",605
vm: add createCacheForFunction,606
fs: do not emit open and read if stream destroyed,607
Intl.DateTimeFormat doesn't respect the passed culture,608
intl: Will Intl.Segmenter need full ICU in Node.js even for the 'en' locale?,609
Node crashes when writing data on HTTP2 stream that meanwhile terminates,610
Discussion: How should the Node executable + Node shared library be distributed?,611
Deprecating _third_party_main,612
doc: add link to VSCode config in testing,613
gitignore files and folders created while running coverage for Node.js core,614
"docs: When using the ""Edit on GitHub"" button references to the guides are not obvious",615
src: add --completion-fish option,616
flaky: parallel test-fs-readfile,617
`server.keepAliveTimeout` is not applied to sockets that are never used.,618
doc: clarify when `'listening'` event is emitted,619
UDP/Datagram Sockets documentation,620
readline: inform line event about separator used,621
vm.compileFunction should return an object,622
Tracking: openSSL with asm on arm64,623
Free memory displayed instead of Available memory (not reality),624
lib: refactor constant in querystring,625
fs: refactor to not rely on write only permission for lchmod,626
HeapProfiler.takeHeapSnapshot will cause Node.js crash,627
why binding.WriteBuffers is not available from api ?,628
Hashbang not resolving `--loader` relative to entry,629
Create a flag to know when stream has reached it's last chunk from within _transform.,630
lib: modify NativeModule to use compileFunction,631
add duration argument to timeout.refresh(),632
util inspect formatter implementer,633
Non-unique V8 scriptUrl when using dynamic import in CJS,634
async_hooks: promiseResolve hook not called for async functions with spread args,635
src: add security warning when inspector is running on public network,636
http: destroy timeout socket by Agent,637
Include list of all subsystems/topics in README.md,638
Promise resolution MTQ ordering problem,639
"fs.lchmod opens file with O_WRONLY unnecessarily, fails on directories and non-writable files",640
"fs: cannot interact with invalid UTF-16 filenames on Windows, even with Buffers",641
doc: list the stability status of each API in one place?,642
Tracking Issue: Legacy URL deprecation,643
Breakpoints not working inside Chrome devtools since `v10.12.0` ,644
remote debugger unable to convert path correctly in different operating system,645
Assertion in parallel/test-trace-events-dynamic-enable from libuv,646
Run code coverage for a single file,647
Warn on potentially insecure inspector options (--inspect=0.0.0.0),648
Investigate flaky parallel/test-repl-tab-complete (debug build),649
Segmentation fault building 10.12.0,650
deps: add support for interface broadcast addresses,651
os.networkInterfaces() does not expose interface's broadcast address,652
child_process.spawn() is unreliable on Promise.all() completion,653
yocto build failed,654
test: correct isReused parameter in test-http-parser,655
Allow registering multiple uncaught exception capture callbacks,656
crypto: use byteLength in timingSafeEqual,657
fs: read/write streams don't emit `close` after `error`,658
New Writable Event - Ended by pipe,659
https.request timeout options doesn't work,660
Buffer.toString('utf8') appears to use wtf-8,661
N-API SharedArrayBuffer api,662
N-API: Need SharedArrayBuffer api,663
N-API: An api for embedding Node in applications,664
Address HashWick,665
Too many ECONNRESET errors after upgrading to 8.12.0 from (8.11.4),666
flaky: test-http-end-throw-socket-handling,667
flaky: test-net-connect-options-port,668
[Tracking Issue] Web Platform Tests revamp/update automation,669
Truncated error messages produced by WinapiErrnoException,670
tls: Add PSK support,671
"Almost guaranteed ECONNRESET on piped sockets if connecting to Node's HTTPS server which answers with ""connection: 'close'"" after setImmediate or setTimeout, on OSX",672
Possible parsing error with destructuring assignment,673
`'open'` can be emitted after `destroy`,674
connection reset when using https server/client combi without keepalive,675
APIs removed in V8 7.0 and native addons,676
test: fix tick-processor tests and run them in CI,677
test-util-internal is flaky cause of non ASCII characters,678
Investigate flaky test-gc-http-client-onerror,679
Feature request: Crypto APIs should optionally return bigints,680
QUIC support,681
[async_hooks] Wrong after callback in case of uncaughtException,682
Threadpool monitoring / metrics,683
Discussion: Criteria for upgrading worker_threads module from experimental to stable,684
Installation problem with search path,685
Add class inheritance/implements info to NodeJS JSON docs,686
tls requires a subject even when altNames are defined,687
Tracing agent should maybe support shutdown-on-signal,688
repl: Support for eager evaluation,689
inspector: add inspector.waitForConnection method,690
src: fix vm enumerator callbacks,691
lib: destructuring assignment `path` module in fs,692
Add RunKit embeds to Node documentation [WIP],693
"Potentially critical bug: Unexpected, reproducible calculation error",694
Docs missing for http2Stream.id and the 'ready' event,695
License agreement is missing,696
querystring.stringify() could accept a Map without breaking existing support for objects,697
"Question: What are the differences/limitations of ./configure --partially-static, --fully-static and default?",698
assert.deepStrictEqual diff confusion,699
Automate tooling updates,700
[v10.x needs a backport] - trace_events: add trace category enabled tracking,701
Web Locks API,702
Include iowait and steal in os.cpus(),703
An optional parameter that lets us delete folders that aren't empty directly,704
WIP: Pluggable thread pool,705
Investigate flaky test parallel/test-zlib-convenience-methods,706
Upcoming V8 change: removal of sparse array iteration support,707
src: add node::url::URL::href() method,708
setUTCDate & setDate do not convert input to integer as expected by ES spec,709
[WiP] buffer: runtime-deprecate buffer constructor in sync mode,710
Align paths in traces,711
WriteStream may get written to a different directory than intended,712
Feature request: util: isDeprecated(),713
toLocaleUpperCase() not working for Georgian locale ('ka'),714
Change JSON.stringify behaviour on certain builtin objects,715
Add testcases for all documented safeguards,716
readline: processing \u2028 and \u2029,717
net: allow typed arrays in .write(),718
stream: allow typed arrays to be written and read,719
dgram: allow typed arrays in .send(),720
Domains created inside `uncaughtException` event handler don't allow catching errors thrown inside the `domain.run()`,721
SQL Injection and Timing Attacks using TLS SNI and HTTP Host Header,722
Async Hooks do not recognize execution contexts created when processing thenables,723
Investigate flaky test-http2-large-file,724
Segmentation fault of node 10.8.0 x64 on Fedora 27 when running from `PATH`,725
running webpack under node version higher than v10.1 produces heavy cpu usage and a high number of Idle Wake Ups,726
openssl_cipher_iv_length,727
Inconsistent flag & environment variable documentation,728
dns: support cares_search for resolution,729
"ICU Toolset being compiled by cross compiler, not host compiler",730
http.get method() ignores query params when passing an URL as first argument,731
"fork method, args parameter cannot be null",732
Multiple tests will fail on Windows.,733
Buffer documentation on pooling might be misleading,734
 process: initial impl of feature access control ,735
Error: Invalid access to memory location.,736
http: remove `pause()`/`resume()` from parser bindings,737
Migration from process.binding ,738
[Feature request] [Windows] Unable to run Node.js in safe mode,739
[async_hooks] - A possible bug or requirement of clarity?  Perhaps another hook needed?,740
Path.format() does not add a slash,741
build: prevent C++ linker from overwriting executable,742
doc: explaination about flagged feature etiquette needed,743
doc: Change doc on fs.rename api w.r.t to windows behaviour,744
test: flakiness in building addons with `make`,745
Why don't we use jemalloc?,746
Documentation on native addon filenames and `NODE_MODULE`,747
Node hangs when running a stand-alone script with captured output,748
fs.rename doesn't work as documented,749
Processes created using spawn with a pipe have no /dev/stdin,750
NodeJS native modules made difficult by distribution packages.,751
cluster: forked children eagerly ignore/replace inspect port from cluster settings,752
"node crashes with ""free(): invalid pointer"" when exiting",753
"querystring.parse expands ""+"" always, regardless of the parser",754
child_process - windowsHide not working with detached: true,755
setInterval keeps drifting over time,756
[Feature Request] Package.json Root / Base Directory,757
Node.js windows installer not working,758
[windows] [readline] [https] Closing input halts event loop,759
Number.prototype.toLocaleString() on currencies,760
Handle leak when all workers shut down and then restart,761
Is there a good way to track how recently data was received from the remote end of an http2 session?,762
Creating a branch of the Docs using RunKit,763
"url.resolve bug with encoded characters like ""%61""",764
Consistent end of stream handling,765
icu build: use genccode -o on non-windows platforms,766
Worker relative path resolution fails with nested folders,767
Custom module loader for Workers,768
Ability to replace current Node process with another,769
doc: troubleshooting FAQ?,770
Feature request: Buffer.readUint(BE|LE) with BigInt support,771
Embedding: static nodejs variables are not set to default,772
"configure --tag allows any string, but certain characters break npm",773
"child_process spawn, execFile, etc. is tremendously slower at Windows and takes minutes",774
Segmentation fault in 8.11.3 for async_hooks,775
"Feature request: support a list of custom ""is host object"" symbols for serialization",776
Crash with Node.js v10.5.0,777
enabling pgo,778
Breaking change in V8 for Error.prepareStackTrace,779
new core modules go under a namespace,780
Ninja build mode lacks install target?,781
Promisify server.listen,782
Replace the use of marked with remark for doc/json generation,783
test: add test for error codes doc and impl,784
async_hooks: add getActiveResources (prototype),785
tls: fix inconsistent (hostname vs host),786
Segfault / error while bootstrapping,787
Investigate flaky async-hooks/test-statwatcher,788
Build node with GN,789
module: add cache of request and filename to optimize require perf,790
"Path.join, argument[0] is coming back undefined when explicitly passed in",791
make test: use after free: parallel/test-cli-node-options,792
"Inconsistent behavior of path.basename(path, ext)",793
buffer: runtime-deprecate Buffer constructor everywhere by default,794
"Add variant of `fs.create{Read,Write}Stream` to `fs/promises`",795
src: add options to control low-level hooks and disable exceptions,796
readline with /dev/tty: echos and doesn't close,797
"test,flake: async-hooks/test-fseventwrap flaky on Travis",798
Is well-known symbol the recommended way to build addon?,799
vm: Error.prepareStackTrace behaves inconsistently across versions,800
"Why don't CJS modules support ""top level await""?",801
fs.readFile possible memory leak,802
Windows intermittent ? - parallel/test-timers-throw-reschedule,803
Class name is missing from Call Stacks when debugging a regular typescript function,804
timers: allow timers to be used as primitives,805
Introduce `mime` module,806
Allow linux users to turn off delayed ACK for TCP,807
async_hooks.triggerAsyncId() don't return the expected value in context of the connection callback of net.Server,808
"Implement ""eager evaluation"" in the REPL",809
N-API: pass error from execute callback in napi_create_async_work to main loop,810
http: OutgoingMessage is missing _writableState,811
test: add test cases for setUnrefTimeout.,812
Unable to share ticketKeys in secureContext,813
test: test-async-wrap-pop-id-during-load failure on mac,814
pipeline missing { end: false },815
make http test suite run http2 compat,816
doc: document readline keybindings,817
doc: add doc for tty writes ( readline.js / REPL ),818
http perfomance regression in Node 8.10 and 8.11.,819
won't link on OS X with --enable-static,820
flaky: `parallel/test-http2-*` on Windows,821
Stream pipe documentation is confusing,822
Inconsistency between production version v10.0.0 and GitHub code (readable-stream),823
Questionable internal casing of property name `process.env.Path`,824
Clarify util.types.isExternal,825
await import() doesn't work in REPL even with --experimental-repl-await,826
"""Just My Code"" for stack traces?",827
NODE_EXTRA_CA_CERTS cannot be set in code or relative,828
Terminate process on unhandled promise rejection,829
REPL on Windows doesn't display console cursor after moving,830
BSD-x86 config missing after OpenSSL 1.1.0h import,831
finished utility vs 'close',832
https?.Server.keepAliveTimeout introduced boundary condition that results in client-side socket hang-ups,833
Documentation for Buffer#includes is not accurate,834
napi_get_uv_event_loop is not paltform neutral:),835
http: client should not emit 'error' after 'aborted' and/or 'abort',836
streams: event clarification and improvements,837
http: ignore socket errors after req.abort,838
process.release.headersUrl: distributors might want to provide an absolute file url,839
vm module should expose V8::ScriptCompiler::CreateCodeCache,840
build: .msi installer starts too long on Windows when Node.js was already installed,841
Flexible stdios for IPC,842
build: /latest/ download folder for nightly and v8-canary branches,843
Missing http2 error handling,844
add HPE_INVALID_METHOD to documentation,845
TLS ClientCertEngine option does not invoke engine_load_ssl_client_cert interface in engine.so,846
Math.pow gives wrong value on windows,847
Accessing stdin with file descriptor 0 on Windows causes exception if there's no input / if stdin is closed,848
"Missing useful debug information for Import ""MODULE_NOT_FOUND"" error",849
Missing useful debug information for Dynamic Import errors,850
net: Don't unlink unix socket on server.close(),851
Support building with win-clang,852
dynamic import can't be used in the REPL,853
child_process: fix channel disconnect logic,854
Files get truncated during bootstrapping,855
"win, cluster: no callback called after write",856
child_process: 'close' not emitted after .disconnect() in parent process,857
Implement window.fetch into core,858
http: setEncoding error for incoming socket connections,859
Adding Websocket support to core,860
ES module loading inconsistent with browser while handling `undefined` exceptions,861
inspector: breakpoints and letter case in script path argument,862
child_process stdout being truncated,863
Building with full-icu by default,864
feature request - listen for foreign/alien/non-child process change/exit,865
Process V8 profiler output not working (new v8.10.0),866
Questions/clarifications about vm context behavior,867
Expose internal statValues in a consumer friendly way.,868
[Tracking] loop/threadpool stats from libuv,869
Merge streams handling code for http2 streams & net.Socket,870
Error while running coverage,871
node --prof-process is broken,872
Deprecating the process._startProfilerIdleNotifier & process._stopProfilerIdleNotifier methods,873
Getting warnings in console on fresh build,874
repl: no RegExp side effects,875
crypto.alloc() for encryption key memory management,876
Should internal modules be affected by monkey-patching?,877
Debuggers cannot break into certain looping node processes,878
Segfault when trying to close the inspector from an active session,879
build: investigate jumbo builds,880
listening to sigint don't exit nicely,881
Not fully linked vm.Module throws errors from C++ when instantiated,882
Investigate non-Latin-1 build file path on Windows,883
Piping a sync or process.nextTick'ed stream to an HTTP res prevents events from firing,884
ReadableStream emits no events in certain character decoding case,885
Using node with process.stdin inside spawned shell,886
flaky test-debugger-debug-brk,887
"require("".\\"") doesn't resolve index.js on Windows",888
RFC: Per Package Loader Hooks,889
Add an entry to the module loading paths dynamically,890
util.isDeepStrictEqual would be better to return false to compare WeakMap/WeakSet,891
ABI compatibility tool,892
Fatal error when attempting to (wrongly) set incoming packet encoding,893
[Tracking] Converting C++ errors to use internal/errors,894
tracing: etw/perf/lttng/etc multi-isolate support,895
Feature request: add `preserveSymlinks` option to `require.resolve()`,896
build: shared library should have noexecstack set,897
parallel/test-fs-utimes y2k38 test fails on mips(el),898
path.dirname docs don't cover windows path edge cases,899
No DNS Search Domain support in C-Ares calls,900
Inconsistent behavior with fs module accross platforms,901
enhancement: provide list of allowed flags of current executable,902
REPL Await invalidates `const`,903
Use %TypedArray%.prototype.subarray for Buffer.prototype.slice,904
doc: how to use advanced features of `configure` on Windows,905
Debugger crashes with assertion failure while using Chrome DevTools and remote debug,906
Make embedding + V8 inspector work again,907
domain migration to async_hooks,908
RFC: speeding up Node.js startup using V8 snapshot,909
host vs hostname inconsistency,910
"When Node addon creates a new isolate, use it to execute JS code and let it triggers GC, it will crash",911
Inconsistent error codes across platforms when writing to read-only (444) files,912
IPC with fd>2 doesn't work,913
Accidentally writing garbage to the IPC channel blows up parent in debug build,914
"Cannot find a module with more than 2 dots prefix, ex require('..my-module')",915
Implement createObjectURL/Blob from File API,916
Performance regression in v6 and v8 compared to v4,917
Moving from domains to async_hooks: plans for addressing common resource pools,918
process.mainModule is undefined with --experimental-modules,919
dgram: add source-specific multicast support,920
Handing spawn() stdio as socket wont duplex properly,921
http: deal with the lack of http proxy support in node.js core.,922
Working build script for Android ARM Node 7.x or 8.x shared library,923
vm.runInThisContext is bound to the top context,924
Tracking Issue: DNS features requiring c-ares support,925
errors.js module,926
Distrust Symantec root certs,927
test/dgram: Add support for IPv6 link local scope IDs in received UDP datagrams,928
doc: better document `--shared` build,929
HttpServerResponse.setDefaultEncoding(),930
DNS server caching breaks changing networks in runtime,931
Child-Process: file-descriptor auto-closes when it shouldn't without triggering close events.,932
"path.posix.resolve, path.posix.relative return wrong path on Windows",933
Windows installer: Per user install (feature request),934
Including windows-1252 conversion in small-icu,935
path.posix.relative returns different results for *nix and Windows versions of node,936
"Discussion of implementing the Encoding Standard with ICU, and associated web platform tests",937
vcbuild does not always generate field <TargetMachine> in project files.,938
"When using pipes other than stdin, stdout, stderr for streaming data into a child process, ENOTCONN error is thrown",939
make and amd64,940
`.errno` field of errors from `child_process.execSync` is in string form instead of numeric.,941
Relative URLs in WHATWG URL API,942
readline: prompt opt-out behavior,943
V8 API: convert Local<Array> into a list of Local<Value>,944
"build,windows: solve build file disparity",945
Missing response for certain POST requests,946
build: refactor vcbuild.bat,947
build: make build faster (at least on Windows),948
Child process inheriting all stdio being SIGKILL-ed messes up terminal,949
Node.js' internal scripts should be hidden in the inspector.,950
node --inspect --debug-brk should break before the script even executes,951
tls requires a subject even when altNames are defined,952
Check cwd before spawning child process,953
require in module.js problem with paths ,954
worker.send stripping Map and replacing with {},955
'end' event not called on connected socket wrapped with tls,956
What will Domain be replaced with?,957
child_process: fork does not accept null or undefined args array,958
tls: secureConnect event will not be emitted if TLSSocket is created via constructor instead of tls.connect,959
"Feature proposal: buffer.convert(value[, fromEnc], toEnc)",960
Poll phase documentation,961
HTTPParser inhibits garbage collection on keep-alive connections,962
Detailed report for async_wrap in `process.memoryUsage()`,963
Debugger doesn't work for processes which fork other processes,964
Build fails when the path to the build root is too long,965
ENOENT thrown when trying to create a file with an invalid filename,966
Windows Container: fs.realpathSync() is broken on shared volumes,967
zlib deflate results in a memory leak,968
doc: guide/topic on how to use streams,969
"Buffer.from(str, encoding) silently ignores decoding errors",970
help() or similar for the REPL,971
http.ServerResponse.writeHead() can be called multiple times for a single response,972
Hotpatching modules leaks memory,973
Should Node.js standard library throw custom Error subclasses?,974
tls: misparsed URI subject alternative name?,975
TCP Fast Open,976
"Feature request: Inform the ""line"" event on a Readline interface of the type of end-of-line input",977
Stop the installer deleting my symlink for AppData\Roaming\npm,978
TCP_DEFER_ACCEPT option for http server ?,979
api to get arm architecture of the binary as in the download page...,980
stdio buffered writes (chunked) issues & process.exit() truncation,981
stdout/stderr buffering considerations,982
TCP socket emitted 'end' event after 'error' event,983
stream: socket.setEncoding(null) to receive binary Buffers rather than strings has no effect,984
how to include v8dbg_ symbols in the windows build,985
Losing keystrokes when using tty.ReadStream() over process.stdin,986
"HTTP Server request.setTimeout(n, cb) does sometimes call socket.destroy(), contradicting documentation",987
No ETW events for function calls,988
Promises allow vm.runInContext timeout to be escaped,989
fs.utimes does not change birthtime on Windows,990
fs: expose scatter/gather syscalls writev() and readv(),991
Improve Path.parse / Path.format combo,992
Accept ArrayBuffer (and typed array/data view?) anywhere Buffer is allowed in the API,993
`Buffer` and `ArrayBuffer`-based objects trigger mark-sweeps instead of scavenges,994
vm: references to context inside objects are not === the original context,995
Chunked stdout/stderr drops writes if terminated early.,996
make crypto functions execute in the threadpool asynchronously,997
streaming / iterative fs.readdir,998
`os.networkInterfaces` does not list all interfaces. ,999
Cleanup `_writableState` and `_readableState` access across codebase,1000
